"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"252" 21570 4797 7463 17874 1635 358 3308 371 20703 4504
"253" 7342 3911 6051 9456 2941 8415 15455 6259 5395 3397
"254" 8191 12228 20218 4587 1198 3333 5246 4289 5562 18465
"255" 6933 14226 6248 18007 21506 5694 21076 14192 19798 18601
"256" 15655 16268 19172 17108 17093 18927 4672 4641 4510 16892
"257" 8554 18930 20586 6876 2987 2359 5432 16721 17356 20059
"258" 2830 13773 18850 17603 14071 17545 20460 17835 15275 20564
"259" 6998 18319 3188 8301 16828 18315 18200 14126 15299 16134
"260" 5457 15426 7223 3474 18116 7406 15634 14119 1229 16004
"261" 19276 20028 21671 19527 20709 2805 18727 15928 19172 19022
"262" 6041 3372 5309 8492 4064 3354 4056 4978 4133 15308
"263" 16217 16542 17220 17268 5476 5856 7067 14357 4506 2631
"264" 14662 10242 13159 15534 7540 10066 10304 9265 11422 6964
"265" 18645 19323 18054 18037 16654 17692 5226 18202 17056 19375
"266" 17042 16573 15846 17645 18941 17135 4306 14293 15496 18332
"267" 18657 19357 18806 18402 16379 18651 16404 15308 5760 16388
"268" 2937 13706 4634 3042 17264 17780 21173 18344 5431 18614
"269" 17235 13946 18417 19110 4617 6527 2977 3532 16912 3494
"270" 2004 2462 4025 1686 5635 4203 7896 4909 5159 4678
"271" 21432 20292 19286 17394 4562 2426 2102 3693 15394 18986
"272" 8159 14791 6079 16554 3417 8394 7659 17913 6215 19446
"273" 8288 16266 7339 17472 17250 19127 16208 17537 3977 5326
"274" 6470 15713 15122 6735 14465 7042 5281 16246 15235 16466
"275" 3916 3214 18135 8022 2192 165 22274 1597 2652 16766
"276" 15600 18003 15944 16793 15026 16250 5689 14989 17452 15375
"277" 19138 21934 21462 17055 19242 16425 20887 16569 4985 20345
"278" 15811 15842 17628 17968 15788 16578 17977 17749 5244 14708
"279" 6961 19131 19389 16635 16817 7225 5876 5961 16028 20361
"280" 5991 4855 2829 19312 136 266 178 363 18895 4824
"281" 3007 4075 8335 8565 2513 6126 15597 3607 18085 18695
"282" 8203 16997 15971 17850 13948 16803 17554 4820 1991 15384
"283" 1536 4423 1563 1834 5236 1805 2053 20325 4459 17626
"284" 3854 3830 17827 6823 18545 16408 4883 3434 4756 5261
"285" 7097 17448 17099 9617 15070 7683 4759 17437 17105 21290
"286" 17705 4697 18260 20628 14438 6782 18291 20752 2663 4799
"287" 16925 14737 7625 8450 2774 1747 7001 2192 4085 3384
"288" 19980 16528 16289 6518 4504 3197 3348 16685 3796 15965
"289" 20868 20800 21548 20019 770 116 199 260 20318 21597
"290" 1922 20184 18851 4208 17746 19735 3594 15709 18143 20611
"291" 7031 13996 18040 17036 16468 16949 4762 4486 16593 5426
"292" 5325 3846 6383 8049 3308 6459 5101 14431 17207 17227
"293" 7142 19337 16411 17136 14587 7983 3440 13873 17633 18054
"294" 6377 20289 15272 6146 15436 17246 8122 19236 3480 3714
"295" 19111 19158 4264 4479 1417 17862 18225 16315 17268 21550
"296" 6754 17241 16629 7830 19108 6671 19819 15293 4981 4061
"297" 3707 14105 3127 3638 20838 5371 21084 17906 4738 15963
"298" 8313 17062 21582 3874 2053 1370 3114 5536 15270 19400
"299" 7086 18597 5080 4523 17622 19692 16680 20552 18661 16579
"300" 4177 2745 7414 16495 18029 18574 20487 17547 4521 14657
"301" 16141 16749 19696 19039 5256 17963 5490 4906 16153 19981
"302" 6871 18744 20429 16656 15732 17187 20258 19194 16649 20094
"303" 16999 16385 5811 2855 15584 16614 19246 17751 16535 20363
"304" 7792 19019 17579 17578 3179 16304 6059 4709 3504 19266
"305" 5668 20667 18320 8724 16947 6113 4429 14256 15765 18673
"306" 7303 14179 16299 16976 5828 8031 4183 14954 16299 19248
"307" 5380 2126 6907 17299 2858 17674 17900 19883 5967 4296
"308" 6459 3935 7853 17478 15014 7518 6441 2676 18147 18523
"309" 18924 4657 17131 20422 15527 17479 19498 18487 5376 5190
"310" 18545 18243 15652 8899 18406 7251 15520 17953 3567 4116
"311" 5864 21738 20300 21612 2935 3367 806 3044 15504 19932
"312" 9731 7190 9700 11752 11015 12693 9313 8046 11786 7181
"313" 14397 11079 13737 3187 21715 22011 21758 21736 20776 17002
"314" 16254 15385 18545 7659 14244 4336 6089 4285 4081 4135
"315" 19249 17346 20950 19774 5990 4906 4046 4371 1394 4064
"316" 16343 17683 7534 16937 4109 3187 3214 1873 15663 14549
"317" 4849 3080 15479 2451 16097 18237 17931 18204 17079 14795
"318" 16317 13215 8092 8375 19854 19294 17738 20818 15710 19019
"319" 20326 17966 17640 19320 1488 17749 4077 4541 20894 14422
"320" 17328 17078 16202 17956 15039 17750 16944 17718 3024 15288
"321" 1965 12268 5122 9574 19647 16670 16903 5897 3687 15074
"322" 16996 17919 17832 16419 5345 6521 17990 18705 6130 16239
"323" 15753 13818 19078 9267 2116 2552 2310 1239 14447 11771
"324" 19381 15775 19841 19598 1261 3919 7503 6227 19842 22271
"325" 19588 18728 15918 4659 16469 5973 5473 16936 20057 19409
"326" 4128 17628 4353 3325 14868 7472 5482 16199 19195 21543
"327" 21668 17690 8374 17183 14268 4541 4519 18273 17003 21284
"328" 19476 20228 19582 9257 14660 6388 2716 19585 4359 17312
"329" 5501 11946 15449 18253 4615 16755 5370 3650 16059 16307
"330" 8462 4190 5657 6655 4843 5206 4326 16451 2264 2562
"331" 8457 12993 6213 17463 4796 7558 16802 16043 15726 3199
"332" 15930 13460 16543 17559 6233 17464 18303 15426 19816 19257
"333" 7470 12625 15830 4060 17459 6683 17709 16811 3692 2604
"334" 1993 2178 1993 1270 5287 17535 16357 17727 5255 15706
"335" 16677 15296 17150 9432 16248 17056 6410 15002 16031 16966
"336" 3962 13799 17850 4353 3566 3188 2337 4524 18804 19260
"337" 19568 13465 16993 17083 6069 6103 17460 18367 6138 3138
"338" 8532 15433 2014 5706 5934 3317 16673 16739 3595 18400
"339" 16139 13927 7874 8536 15906 4606 18287 2487 17118 5372
"340" 17427 20031 15195 18049 14077 6926 7361 17207 4343 15611
"341" 4853 1910 3554 2658 17143 17598 15968 5861 6055 20075
"342" 3989 1481 1719 1867 5155 5087 4694 17949 3655 14307
"343" 7758 12380 6358 4660 14796 19741 16293 16491 6185 19225
"344" 8598 4946 19883 4486 5069 1486 7282 14853 2988 20343
"345" 6726 4738 16951 18940 17147 19510 6624 2547 16561 14571
"346" 17029 16116 18556 16488 16637 17151 6670 18366 16606 15261
"347" 6538 13114 15552 8806 15557 8121 16233 15889 4724 4256
"348" 8456 18513 5706 6045 4505 4991 4955 19637 2544 5345
"349" 17588 20472 18022 1779 1784 1029 925 1024 18047 21905
"350" 7902 4581 7564 6131 16644 17797 16864 18992 4797 17821
"351" 6198 12549 5583 8233 2277 5182 4153 2437 2423 2605
"352" 2203 4533 7485 7065 20817 21353 19987 18581 19005 3122
"353" 15351 13405 8266 6506 16477 7135 7537 17615 15572 3741
"354" 6352 12988 6781 17878 5087 5984 4523 14244 2333 3301
"355" 1775 3693 675 5855 1854 1929 1640 17255 2665 667
"356" 18560 12723 7029 6012 4410 6301 17774 16665 3544 18803
"357" 6213 13563 4571 4599 15694 7991 19828 15532 20205 15919
"358" 15326 17089 15329 9088 4202 5105 5467 17006 4338 14902
"359" 16369 13207 16487 17974 2826 18325 15769 14544 16452 17438
"360" 16775 19449 18636 20568 2350 8147 5575 18374 4476 15975
"361" 18331 20926 19691 18657 16172 7321 4669 20135 16887 18758
"362" 16699 13607 19418 18491 15970 16981 16433 18569 5696 1755
"363" 11018 6424 10351 11480 9064 13144 12525 10237 9377 12270
"364" 16593 15521 7449 8354 2801 2792 16872 15073 16610 3724
"365" 17957 14949 18803 6746 3648 3273 2989 16748 1666 5161
"366" 17826 16495 2616 9590 14472 7892 3264 17278 4525 14429
"367" 5416 15747 5908 2154 5560 1505 4483 3887 15799 17938
"368" 8044 13879 15937 5847 16417 16381 15638 17632 16546 16407
"369" 18023 4097 8063 3853 14020 18888 2654 1812 767 18834
"370" 20412 17299 20500 18848 21054 8354 18572 17342 4006 19530
"371" 19062 14243 15267 17452 5072 8087 3613 13763 5114 16682
"372" 15959 14828 7554 8009 3444 5414 5898 6011 3065 15918
"373" 17789 21421 20283 17706 17468 6348 2968 17434 17970 20005
"374" 18305 17735 17840 18632 4200 6287 3582 14479 16266 18004
"375" 17330 21627 21291 18084 17205 6338 6683 18997 4290 16734
"376" 15773 19757 20896 2492 4678 4635 5690 20342 21769 22072
"377" 17200 17208 17901 18726 17246 17816 6529 18775 16615 21436
"378" 17609 18325 7871 7496 5843 7038 4058 16511 15894 17016
"379" 17093 16728 7994 3527 17289 4395 6973 15466 5086 19358
